countries,topics,section_title,enb_start_date,enb_short_title,subtype,actors,enb_url,enb_long_title,type,id,enb_end_date
"","","ADAPTATION:","06-Oct-11","AWGs","","","http://www.iisd.ca/vol12/enb12519e.html","UN Climate Change Conference October 2011","working group","enb12519e_7","06-Oct-11"
"","","IN THE CORRIDORS","06-Sep-99","SB-13","corridors","","http://www.iisd.ca/vol12/enb12143e.html","Thirteenth Session of the Subsidiary Bodies of the UNFCCC","sbi/sbsta","enb12143e_9","06-Sep-99"
"","","COLOMBIA","19-Jul-96","2nd COP FCCC","","","http://www.iisd.ca/vol12/1237000e.html","Second Conference of the Parties to the Framework Convention on Climate Change","","1237000e_8","19-Jul-96"
"","","BOX A","24-Nov-00","COP-6","","Alliance of Small Island States","http://www.iisd.ca/vol12/enb12162e.html","Sixth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12162e_8","24-Nov-00"
"","","PROPOSAL FROM KAZAKHSTAN:","01-Dec-11","COP17","","","http://www.iisd.ca/vol12/enb12526e.html","Durban Climate Change Conference - COP17/CMP7","cop","enb12526e_10","01-Dec-11"
"Russia|United States|Russian Federation|Niger|Nigeria|China","","PROGRAMME BUDGET FOR THE BIENNIUM 2006-2007","25-May-05","UNFCCC SB 22","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12267e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12267e_5","25-May-05"
"Canada|South Africa|Burkina Faso|United States|Saudi Arabia|Egypt|Australia|Honduras","","ADVERSE EFFECTS","09-Jun-00","SB-12","","African Group|European Union","http://www.iisd.ca/vol12/enb12131e.html","TWELFTH SESSION OF THE SUBSIDIARY BODIES OF THE UNFCCC","","enb12131e_5","09-Jun-00"
"China|Russian Federation|Canada|Russia","","JOINT IMPLEMENTATION (PROTOCOL ARTICLE 6)","02-Dec-05","UNFCCC COP 11 and COP/MOP 1","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12284e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12284e_9","02-Dec-05"
"","","SBSTA Conclusions","16-Jun-03","SB-18","","","http://www.iisd.ca/vol12/enb12219e.html","18th Session of the Subsidiary Bodies","","enb12219e_49","16-Jun-03"
"Costa Rica|Switzerland","Financial Mechanisms and Funds 1","SUBSIDIARY BODY FOR IMPLEMENTATION","07-Mar-97","6th Session of the AGBM","","","http://www.iisd.ca/vol12/1244000e.html","Sixth Session of the Ad Hoc Group on the Berlin Mandate","SBI","1244000e_4","07-Mar-97"
"","","INTRODUCTION:","02-Apr-07","IPCC WGII","","","http://www.iisd.ca/vol12/enb12320e.html","Eighth session of the IPCC Working Group II","ipcc","enb12320e_5","05-Apr-07"
"","","MITIGATION (developed countries) (AWG-LCA)","07-Dec-10","COP 16","","","http://www.iisd.ca/vol12/enb12494e.html","Cancún Climate Change Conference","","enb12494e_3","07-Dec-10"
"Malawi|Ethiopia|Denmark|New Zealand|China|Switzerland|Egypt|Costa Rica|Argentina","","ISSUES RELATING TO AGRICULTURE:","04-Jun-14","SB 40","","Group of 77|African Group|Independent association of Latin America and the Caribbean","http://www.iisd.ca/vol12/enb12598e.html","Bonn Climate Change Conference - June 2014","","enb12598e_60","15-Jun-14"
"Iran|United States|Japan|Grenada|Brazil|Kuwait|Algeria|Mexico|Tuvalu|Sudan|Philippines|Australia|Ethiopia|Guinea|Saudi Arabia|Papua New Guinea|Norway|Switzerland|China|New Zealand","Post-Kyoto Agreements 1","MITIGATION:","10-Mar-14","ADP 2-4","","African Group|Alliance of Small Island States|Independent association of Latin America and the Caribbean","http://www.iisd.ca/vol12/enb12595e.html","Bonn Climate Change Conference - March 2014","WORKING GROUP","enb12595e_8","14-Mar-14"
"","","ANNEX I NATIONAL COMMUNICATIONS","03-Dec-08","COP/MOP3","","","http://www.iisd.ca/vol12/enb12354e.html","United Nations Climate Change Conference - Bali","COP","enb12354e_71","15-Dec-08"
"","","Continuing Review of the Functions and Operations of the Secretariat","02-Jun-15","SB 42","","","http://www.iisd.ca/vol12/enb12629e.html","Bonn Climate Change Conference - June 2015","","enb12629e_23","02-Jun-15"
"","","Second Commitment Period","02-Sep-12","AWGs","","","http://www.iisd.ca/vol12/enb12551e.html","Bangkok Climate Change Conference - August 2012","","enb12551e_1","02-Sep-12"
"","","IN THE CORRIDORS","18-Jun-04","UNFCCC SB-20","CORRIDORS","","http://www.iisd.ca/vol12/enb12235e.html","Twentieth Session of the Subsidiary Bodies to the UN Framework Convention on Climate Change","SBI/SBSTA","enb12235e_13","18-Jun-04"
"Finland","","Harvested wood products","19-May-06","UNFCCC SB 24","","European Union","http://www.iisd.ca/vol12/enb12299e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12299e_17","19-May-06"
"","Adaptation","COP Decision","03-Dec-08","COP/MOP3","","Alliance of Small Island States","http://www.iisd.ca/vol12/enb12354e.html","United Nations Climate Change Conference - Bali","","enb12354e_98","15-Dec-08"
"Cook Islands|Micronesia|Philippines","Vulnerabilities and Impacts","MULTILATERAL AND REGIONAL SUPPORT PROGRAMMES","03-May-04","UNFCCC Workshop","","","http://www.iisd.ca/vol12/enb12232e.html","United Nations Framework Convention on Climate Change (UNFCCC) workshop on the preparation of national communications from non-Annex I Parties","","enb12232e_11","03-May-04"
"South Sudan|Sudan|Venezuela|United Kingdom|Malaysia|United States|Bolivia|Brazil|Canada|Netherlands|Mexico|Saudi Arabia|Austria|Tanzania|France|Switzerland","Anthropogenic Interference with Climate System","APPROACHES TO CLIMATE CHANGE MITIGATION :","07-Apr-14","IPCC-39","","","http://www.iisd.ca/vol12/enb12597e.html","Twelfth Session of the Intergovernmental Panel on Climate Change (IPCC) Working Group III (WGIII-12) and Thirty-ninth Session of the Intergovernmental Panel on Climate Change (IPCC-39)","ipcc","enb12597e_6","12-Apr-14"
"Australia|Brazil|Sweden|Mauritius|China","","NON-ANNEX I NATIONAL COMMUNICATIONS","08-Dec-04","UNFCCC COP-10","","Group of 77|Umbrella Group|European Union","http://www.iisd.ca/vol12/enb12251e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12251e_1","08-Dec-04"
"Ecuador|India|New Zealand|Australia|Marshall Islands|Singapore|Pakistan","Post-Kyoto Agreements 2","Vision for the ADP","29-Nov-12","COP 18","","European Union","http://www.iisd.ca/vol12/enb12559e.html","Doha Climate Change Conference - November 2012","","enb12559e_16","29-Nov-12"
"","","SMALL-SCALE AFFORESTATION AND REFORESTATION UNDER THE CDM:","11-May-07","SB 26","","","http://www.iisd.ca/vol12/enb12326e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","SBI/SBSTA","enb12326e_7","11-May-07"
"Venezuela|Argentina|Botswana|United States|Japan|Kuwait|Indonesia|Finland|Canada|South Africa|Libya|Benin|United Kingdom|Australia|Iceland|Saudi Arabia|Kazakhstan|Norway|China|Honduras","UNFCCC Functioning","The Way Forward:","08-Nov-99","COP-5","","","http://www.iisd.ca/vol12/enb12123e.html","Fifth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12123e_56","08-Nov-99"
"Jamaica|China|Luxembourg","","CLOSING PLENARY","30-May-05","UNFCCC SB 22","PLENARY","Group of 77|European Union","http://www.iisd.ca/vol12/enb12270e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","SBI/SBSTA","enb12270e_59","30-May-05"
"Malaysia|Canada|Japan|China","","LULUCF UNDER THE CDM","10-Jun-02","SB-16","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12195e.html","Sixteenth Sessions of the Subsidiary Bodies","","enb12195e_8","10-Jun-02"
"Senegal","","PLENARY:","31-Aug-12","AWGs","plenary","","http://www.iisd.ca/vol12/enb12549e.html","Bangkok Climate Change Conference - August 2012","working group","enb12549e_1","31-Aug-12"
"United States|United Kingdom|Belgium|Colombia|Austria|Switzerland","","Industry, settlement and society","02-Apr-07","IPCC WGII","","","http://www.iisd.ca/vol12/enb12320e.html","Eighth session of the IPCC Working Group II","","enb12320e_11","05-Apr-07"
"Lesotho","","Plenary discussion","10-Mar-08","Workshop","","Alliance of Small Island States","http://www.iisd.ca/vol12/enb12356e.html","UNFCCC Expert Group Meeting on socioeconomic information under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)","","enb12356e_10","12-Mar-08"
"Canada|Bangladesh|Trinidad and Tobago|United States|Japan|Germany|China","","TECHNOLOGY TRANSFER","09-Dec-04","UNFCCC COP-10","","Group of 77","http://www.iisd.ca/vol12/enb12252e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12252e_8","09-Dec-04"
"Mauritania|China","","NON-ANNEX I COMMUNICATIONS","30-Oct-99","COP-5","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12117e.html","Fifth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12117e_10","30-Oct-99"
"","","Operational Modalities of the Technology Mechanism - Results of the Preparatory Work of the EGTT","03-Apr-11","AWGs","","","http://www.iisd.ca/vol12/enb12499e.html","UN Climate Change Conference Bangkok - April 2011","","enb12499e_12","08-Apr-11"
"","","ADOPTION OF THE REPORT ON CREDENTIALS","27-Nov-00","COP-6","","","http://www.iisd.ca/vol12/enb12163e.html","Sixth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12163e_9","27-Nov-00"
"Italy","","RESEARCH AND SYSTEMATIC OBSERVATION:","26-May-06","UNFCCC SB 24","","","http://www.iisd.ca/vol12/enb12305e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","sbsta","enb12305e_14","26-May-06"
"","","FLEXIBILITY MECHANISMS:","04-Apr-09","AWGs","","","http://www.iisd.ca/vol12/enb12403e.html","Fifth session of the Ad Hoc Working Group on Long-term Cooperative Action under the UN Framework Convention on Climate Change (AWG-LCA 5) and Seventh session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG-KP 7)","working group","enb12403e_7","04-Apr-09"
"","","LDCs","18-Nov-13","COP 19","","","http://www.iisd.ca/vol12/enb12589e.html","Warsaw Climate Change Conference - November 2013","","enb12589e_24","18-Nov-13"
"Australia|Iceland|Micronesia|New Zealand","","ANNEX I EMISSION REDUCTIONS:","09-Oct-10","AWGs","","European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12484e.html","Tianjin Climate Change Talks - October 2010","working group","enb12484e_7","09-Oct-10"
"","","COP Decision","15-Dec-03","UNFCCC COP-9","","","http://www.iisd.ca/vol12/enb12231e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12231e_13","15-Dec-03"
"China|Australia|Congo|Mali|Papua New Guinea|Gambia|Switzerland|Grenada|Guinea|Argentina","","SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE","06-Jun-11","SB 34","","Group of 77|Alliance of Small Island States|Umbrella Group|Least Developed Countries|Environmental Integrity Group|Group of 77 and China|Coalition for Rainforest Nations|African Group","http://www.iisd.ca/vol12/enb12513e.html","UN Climate Change Conference June 2011","","enb12513e_2","17-Jun-11"
"Australia|China|New Zealand","","NON-ANNEX I NATIONAL COMMUNICATIONS","10-Dec-04","UNFCCC COP-10","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12253e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12253e_8","10-Dec-04"
"","","MATTERS RELATING TO THE LDCs","28-Nov-11","COP17","","Least Developed Countries","http://www.iisd.ca/vol12/enb12534e.html","Durban Climate Change Conference - COP17/CMP7","","enb12534e_18","09-Dec-11"
"Sri Lanka|Niger|Philippines|Algeria|Venezuela|Nigeria|China|Uruguay|Uganda|Micronesia|Papua New Guinea|United Kingdom|Guinea|Mauritius|Sweden","","REVIEW OF THE ADEQUACY OF COMMITMENTS","31-Mar-95","1st COP FCCC","","Group of 77|African Group|Alliance of Small Island States","http://www.iisd.ca/vol12/1215000e.html","First Conference of the Parties to the Framework Convention on Climate Change","","1215000e_7","31-Mar-95"
"Russia|United States|Russian Federation|Australia|Canada|Myanmar","","COOPERATION WITH THE IPCC","08-Jul-96","2nd COP FCCC","","European Union","http://www.iisd.ca/vol12/1238000e.html","Second Conference of the Parties to the Framework Convention on Climate Change","","1238000e_11","19-Jul-96"
"Bangladesh","","CONVENTION ARTICLE 6 (education, training and public awareness)","06-Jun-11","SB 34","","","http://www.iisd.ca/vol12/enb12513e.html","UN Climate Change Conference June 2011","","enb12513e_49","17-Jun-11"
"","","SBSTA Conclusions","14-May-12","SB 36","","","http://www.iisd.ca/vol12/enb12546e.html","Bonn Climate Change Conference - May 2012","","enb12546e_25","25-May-12"
"","","CAPACITY BUILDING","14-Nov-00","COP-6","","","http://www.iisd.ca/vol12/enb12153e.html","Sixth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12153e_11","14-Nov-00"
"Norway|Japan","","INTERNAL REVIEW OF SECRETARIAT ACTIVITIES","23-May-05","UNFCCC SB 22","","European Union","http://www.iisd.ca/vol12/enb12265e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12265e_2","23-May-05"
"","","Water resources:","10-Mar-08","Workshop","","","http://www.iisd.ca/vol12/enb12356e.html","UNFCCC Expert Group Meeting on socioeconomic information under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)","","enb12356e_5","12-Mar-08"
"Russia|Canada|United States|Russian Federation|Japan|Iceland|Norway|Switzerland","Extension of the Kyoto protocol","BETWEEN SCYLLA AND CHARYBDIS","06-Jun-11","SB 34","","European Union","http://www.iisd.ca/vol12/enb12513e.html","UN Climate Change Conference June 2011","","enb12513e_104","17-Jun-11"
"Brazil|Ethiopia|India|New Zealand|Bangladesh|Oman|Algeria|Norway|Japan|China|Australia|Saudi Arabia|Colombia|Egypt|South Africa","","OTHER ISSUES (FLEXIBILITY MECHANISMS)","14-Aug-09","AWGs","","European Union","http://www.iisd.ca/vol12/enb12426e.html","Bonn Climate Change Talks - August 2009","working group","enb12426e_8","14-Aug-09"
"","","SBSTA Conclusions","15-May-06","UNFCCC SB 24","","","http://www.iisd.ca/vol12/enb12306e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12306e_44","26-May-06"
"","","COP Decision","06-Dec-04","UNFCCC COP-10","","","http://www.iisd.ca/vol12/enb12260e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12260e_78","18-Dec-04"
"Norway|Samoa","","COMPLIANCE","18-Sep-00","SB-13","","","http://www.iisd.ca/vol12/enb12151e.html","Thirteenth Session of the Subsidiary Bodies of the UNFCCC","SBI/SBSTA","enb12151e_34","18-Sep-00"
"Canada|Germany|United States","Flexibility Mechanims","CDM 'COULD DO MORE'","30-May-05","UNFCCC SB 22","","","http://www.iisd.ca/vol12/enb12270e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","SBI/SBSTA","enb12270e_61","30-May-05"
"","","COP Decision","29-Nov-10","COP 16","","","http://www.iisd.ca/vol12/enb12498e.html","Cancún Climate Change Conference","","enb12498e_42","11-Dec-10"
"United States|Thailand|Ghana|Brazil|Canada|Niger|Nigeria|Poland|China","Technology Transfer","DEVELOPMENT & TRANSFER OF TECHNOLOGIES","15-Nov-00","COP-6","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12154e.html","Sixth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12154e_5","15-Nov-00"
"Russia|New Zealand|United Kingdom|Russian Federation|United States|Chile|Australia|Germany|Fiji|Canada|Mexico|Saudi Arabia|Slovenia|Spain|Tanzania|Saint Lucia","","B) OBSERVED CHANGES IN THE CLIMATE SYSTEM:","23-Sep-13","IPCC36","","","http://www.iisd.ca/vol12/enb12581e.html","Twelfth Session of Working Group I (WGI) of the Intergovernmental Panel on Climate Change (IPCC) and Thirty-sixth Session of the IPCC","ipcc","enb12581e_11","26-Sep-13"
"","","CAPACITY BUILDING UNDER THE KYOTO PROTOCOL:","01-Dec-14","COP 20","","","http://www.iisd.ca/vol12/enb12619e.html","Lima Climate Change Conference - December 2014","","enb12619e_27","14-Dec-14"
"Brazil|India|Indonesia|New Zealand|Saudi Arabia|Costa Rica|Singapore|South Africa","","TIME FRAMES AND PROCESS RELATED TO COMMITMENTS:","11-Feb-15","COP 20","","League of Arab States|European Union","http://www.iisd.ca/vol12/enb12623e.html","Geneva Climate Change Conference - February 2015","working group","enb12623e_1","11-Feb-15"
"Mauritania|Benin|United States|Japan|Philippines|France|China|Uruguay","UNFCCC Functioning","COMMITTEE OF THE WHOLE","03-Apr-95","1st COP FCCC","PLENARY","Group of 77|European Union","http://www.iisd.ca/vol12/1216000e.html","First Conference of the Parties to the Framework Convention on Climate Change","COP","1216000e_1","03-Apr-95"
"","","ARRANGEMENTS FOR INTERGOVERNMENTAL MEETINGS:","23-May-06","UNFCCC SB 24","","European Union","http://www.iisd.ca/vol12/enb12302e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12302e_7","23-May-06"
"","","Fourth national communications","01-Jun-09","SB 30","","","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_50","12-Jun-09"
"South Africa|Israel|United Kingdom|Ukraine","","OTHER PLENARY MEETINGS","28-Mar-95","1st COP FCCC","","","http://www.iisd.ca/vol12/1221000e.html","First Conference of the Parties to the Framework Convention on Climate Change","COP","1221000e_2","07-Apr-95"
"Brazil|New Zealand|Russian Federation|Micronesia|China|Australia|Bolivia|Russia","","ANNEX I PARTIES FURTHER COMMITMENTS:","06-Oct-10","AWGs","","European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12481e.html","Tianjin Climate Change Talks - October 2010","working group","enb12481e_2","06-Oct-10"
"Canada|Kazakhstan","","KAZAKHSTAN S PROPOSAL TO BE INCLUDED IN ANNEX B:","01-Jun-10","AWGs","","","http://www.iisd.ca/vol12/enb12462e.html","Bonn Climate Change Talks - May/June 2010","sbi","enb12462e_23","01-Jun-10"
"","","RESEARCH AND SYSTEMATIC OBSERVATION:","11-May-07","SB 26","","","http://www.iisd.ca/vol12/enb12326e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","SBI/SBSTA","enb12326e_6","11-May-07"
"","","REPORTING AND REVIEW OF INFORMATION FROM ANNEX I PARTIES THAT ARE PARTIES TO THE KYOTO PROTOCOL","02-Jun-08","SB-28","","","http://www.iisd.ca/vol12/enb12375e.html","Twenty-eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol","SBI","enb12375e_58","13-Jun-08"
"","","ADMINISTRATIVE, FINANCIAL AND INSTITUTIONAL MATTERS: Audited Financial Statements for the Biennium 2012-2013","01-Dec-14","COP 20","","","http://www.iisd.ca/vol12/enb12619e.html","Lima Climate Change Conference - December 2014","","enb12619e_30","14-Dec-14"
"China|Iran|Marshall Islands|United States|Jordan|Japan|Chile|Bolivia|Brazil|Timor-Leste|Canada|South Africa|Mali|Niger|Nauru|Tuvalu|Belize|Australia|Swaziland|Singapore|Saudi Arabia|Norway|Switzerland|Nigeria|New Zealand","Post-Kyoto Agreements 1","MITIGATION, CYCLE AND OTHER MATTERS:","20-Oct-14","ADP 2-6","GROUPS","Independent association of Latin America and the Caribbean|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12605e.html","Bonn Climate Change Conference - October 2014","WORKING GROUP","enb12605e_6","25-Oct-14"
"Russia|United States|China","Adverse Effects & Response Measure","SIGNALING MOSCOW","16-Jun-03","SB-18","","Organization of Petroleum Exporting Countries|Group of 77|European Union","http://www.iisd.ca/vol12/enb12219e.html","18th Session of the Subsidiary Bodies","SBI/SBSTA","enb12219e_64","16-Jun-03"
"India|Pakistan|Venezuela|United Kingdom|United States|Japan|Australia|Brazil|Paraguay|Singapore|Saudi Arabia|Micronesia|China","","MITIGATION (sub-paragraph 1(b)(ii) of the BAP)","05-Oct-09","AWGs","","Group of 77|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12434e.html","Bangkok Climate Change Talks - 2009","","enb12434e_1","05-Oct-09"
"","","COP Decision","07-Dec-09","COP 15","","","http://www.iisd.ca/vol12/enb12459e.html","Copenhagen Climate Change Conference","","enb12459e_15","19-Dec-09"
"Morocco|Hungary|Mauritius|Colombia|Jamaica","","SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE","03-Mar-97","6th Session of the AGBM","","African Group","http://www.iisd.ca/vol12/1245000e.html","Sixth Session of the Ad Hoc Group on the Berlin Mandate","","1245000e_9","07-Mar-97"
"Brazil|Niger|New Zealand|Nigeria|Japan|China|Mali|Finland|Singapore|Argentina","","METHODOLOGICAL ISSUES UNDER THE CONVENTION:","01-Dec-14","COP 20","","","http://www.iisd.ca/vol12/enb12619e.html","Lima Climate Change Conference - December 2014","","enb12619e_62","14-Dec-14"
"Bolivia|Mexico","Legal Status of Agreeements","EXORCISING THE GHOSTS OF COPENHAGEN","29-Nov-10","COP 16","","","http://www.iisd.ca/vol12/enb12498e.html","Cancún Climate Change Conference","","enb12498e_106","11-Dec-10"
"","","SBI Conclusions","04-Jun-14","SB 40","","","http://www.iisd.ca/vol12/enb12598e.html","Bonn Climate Change Conference - June 2014","","enb12598e_45","15-Jun-14"
"Saudi Arabia|China","","ARTICLES 5, 7 & 8","14-Jun-00","SB-12","","Group of 77","http://www.iisd.ca/vol12/enb12134e.html","TWELFTH SESSION OF THE SUBSIDIARY BODIES OF THE UNFCCC","","enb12134e_12","14-Jun-00"
"Australia|China|Canada|New Zealand","","PROTOCOL ARTICLES 5, 7 AND 8","30-Jul-01","COP-6 bis","","Group of 77","http://www.iisd.ca/vol12/enb12176e.html","SIXTH CONFERENCE OF THE PARTIES TO THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE RESUMED SESSION","","enb12176e_38","30-Jul-01"
"Spain|Russian Federation|Russia","","Adjournment of the meeting:","22-Nov-00","COP-6","","","http://www.iisd.ca/vol12/enb12160e.html","Sixth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12160e_14","22-Nov-00"
"Chad|Bangladesh|United States|Japan|Brazil|Canada|South Africa|Antigua and Barbuda|Mexico|Colombia|Philippines|Australia|Uganda|Saudi Arabia|Egypt|Switzerland|Barbados|China","Adaptation","FINANCE:","10-Aug-09","AWGs","","Group of 77|African Group|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12427e.html","Bonn Climate Change Talks - August 2009","WORKING GROUP","enb12427e_19","14-Aug-09"
"Argentina","","OBSERVER BRIEFING","06-Aug-97","7th Session of the AGBM","PLENARY","","http://www.iisd.ca/vol12/enb1253e.html","Seventh Session of the Ad Hoc Group on the Berlin Mandate","WORKING GROUP","enb1253e_1","06-Aug-97"
"Saudi Arabia","","IN THE BREEZEWAYS","09-Nov-06","COP/MOP2","CORRIDORS","European Union","http://www.iisd.ca/vol12/enb12310e.html","UN Climate Change Conference – Nairobi 2006","","enb12310e_13","09-Nov-06"
"Tuvalu|United Kingdom|Argentina|United States|Japan|Chile|Australia|Brazil|Germany|South Africa|Saudi Arabia|Austria|France|Switzerland|China","Anthropogenic Interference with Climate System","D. CURRENT KNOWLEDGE ABOUT RESPONDING TO CLIMATE CHANGE:","02-Apr-07","IPCC WGII","","Organisation for Economic Co.operation and Development|European Union","http://www.iisd.ca/vol12/enb12320e.html","Eighth session of the IPCC Working Group II","ipcc","enb12320e_24","05-Apr-07"
"","","Capacity Building under the Protocol","07-Dec-09","COP 15","","","http://www.iisd.ca/vol12/enb12459e.html","Copenhagen Climate Change Conference","","enb12459e_48","19-Dec-09"
"","","Key decisions related to the future work of the IPCC:","09-Apr-01","IPCC-17","","","http://www.iisd.ca/vol12/enb12165e.html","Seventeenth session of the Intergovernmental Panel on Climate Change (IPCC)","ipcc","enb12165e_25","09-Apr-01"
"India|Canada|Ireland|United States|Saudi Arabia","","FUTURE RISKS AND OPPORTUNITIES FOR ADAPTATION:","10-Mar-14","IPCC-38","","European Union","http://www.iisd.ca/vol12/enb12596e.html","Tenth Session of the Intergovernmental Panel on Climate Change (IPCC) Working Group II (WGII-10) and Thirty-eighth Session of the IPCC (IPCC-38)","ipcc","enb12596e_11","14-Mar-14"
"Grenada|Burkina Faso","Adverse Effects & Response Measure","FINANCIAL ISSUES","19-Jul-01","COP-6 bis","","","http://www.iisd.ca/vol12/enb12169e.html","SIXTH CONFERENCE OF THE PARTIES TO THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE RESUMED SESSION","","enb12169e_3","19-Jul-01"
"","","SBSTA Conclusions","29-Nov-10","COP 16","","","http://www.iisd.ca/vol12/enb12498e.html","Cancún Climate Change Conference","","enb12498e_87","11-Dec-10"
"Bolivia|China","","CLOSING PLENARY:","01-Dec-14","COP 20","","Group of 77","http://www.iisd.ca/vol12/enb12619e.html","Lima Climate Change Conference - December 2014","","enb12619e_51","14-Dec-14"
"","","FINANCIAL MECHANISM (SBI):","09-Jun-08","SB-28","","","http://www.iisd.ca/vol12/enb12370e.html","Twenty-eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol","","enb12370e_8","09-Jun-08"
"China","","LULUCF UNDER THE CDM","26-Oct-02","COP-8","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12204e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12204e_16","26-Oct-02"
"","","SBSTA Conclusions","03-Jun-13","SB 38","","","http://www.iisd.ca/vol12/enb12580e.html","Bonn Climate Change Conference - June 2013","","enb12580e_28","14-Jun-13"
"","","SBSTA Conclusions","14-May-12","SB 36","","","http://www.iisd.ca/vol12/enb12546e.html","Bonn Climate Change Conference - May 2012","","enb12546e_30","25-May-12"
"India|Tuvalu|Jamaica|Iran|Marshall Islands|Sudan|Argentina|United States|Bolivia|Ghana|Australia|South Africa|Colombia|Saudi Arabia|China","Post-Kyoto Agreements 1","ADAPTATION AND LOSS AND DAMAGE","02-Sep-15","ADP 2-10","","Group of 77|African Group|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12641e.html","Bonn Climate Change Conference - August 2015","","enb12641e_1","02-Sep-15"
"Indigenous Peoples|Norway|Paraguay|Switzerland","REDD","REDUCING EMISSIONS FROM DEFORESTATION IN DEVELOPING COUNTRIES:","01-Jun-09","SB 30","","Environmental Integrity Group","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_32","12-Jun-09"
