keywords,title keywords,topic
Extinction,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
water resources,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Human Health,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Water,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Freshwater,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
climate change risks,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
poverty,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
urban,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
climate change impact,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
crop,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Ocean acidification,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
key risks,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Climate variability,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Water Supply,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Water Scarcity,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
impact of climate change,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
tropics,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
War,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Health,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
ice,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Water Availability,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Mortality Rate,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
food security,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
weather extremes,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Littoral zone,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Urban Area,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Crop Production,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
coral reef,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Marine Ecosystem,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
polar regions,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
extreme weather events,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
Coral bleaching,"sea-level rise, drought, flood, species extinction, water, hazards, extinction",Reasons for Concern
technology needs,"technology, technologies",Technology Transfer
Climate Technology Initiative,"technology, technologies",Technology Transfer
technology information,"technology, technologies",Technology Transfer
technology needs assessment,"technology, technologies",Technology Transfer
adaptation technologies,"technology, technologies",Technology Transfer
enabling environment,"technology, technologies",Technology Transfer
environmentally sound technologies,"technology, technologies",Technology Transfer
Needs Assessment,"technology, technologies",Technology Transfer
regional workshops,"technology, technologies",Technology Transfer
EGTT,"technology, technologies",Technology Transfer
intergovernmental technical advisory panel,"technology, technologies",Technology Transfer
technology transfer,"technology, technologies",Technology Transfer
private sector,"technology, technologies",Technology Transfer
Low carbon technology,"technology, technologies",Technology Transfer
Information Network,"technology, technologies",Technology Transfer
technology,"technology, technologies",Technology Transfer
Technology Assessment,"technology, technologies",Technology Transfer
integrated approach,"technology, technologies",Technology Transfer
Structural adjustment,"technology, technologies",Technology Transfer
technology development and transfer,"technology, technologies",Technology Transfer
enabling activities,"technology, technologies",Technology Transfer
technology diffusion,"technology, technologies",Technology Transfer
clearing house,"technology, technologies",Technology Transfer
Science and Technology,"technology, technologies",Technology Transfer
barrier to technology transfer,"technology, technologies",Technology Transfer
Research and development,"technology, technologies",Technology Transfer
public and private sectors,"technology, technologies",Technology Transfer
Organisation for Economic Co-operation and Development,"technology, technologies",Technology Transfer
public sector,"technology, technologies",Technology Transfer
technical support,"technology, technologies",Technology Transfer
Nairobi Work Programme,"vulnerability, impacts",Vulnerabilities and Impacts
vulnerability and adaptation,"vulnerability, impacts",Vulnerabilities and Impacts
Resilience,"vulnerability, impacts",Vulnerabilities and Impacts
weather extremes,"vulnerability, impacts",Vulnerabilities and Impacts
agriculture,"vulnerability, impacts",Vulnerabilities and Impacts
climate change impact,"vulnerability, impacts",Vulnerabilities and Impacts
adaptation measures,"vulnerability, impacts",Vulnerabilities and Impacts
Infrastructure,"vulnerability, impacts",Vulnerabilities and Impacts
World Health Organization,"vulnerability, impacts",Vulnerabilities and Impacts
Littoral zone,"vulnerability, impacts",Vulnerabilities and Impacts
Indigenous Knowledge,"vulnerability, impacts",Vulnerabilities and Impacts
extreme events,"vulnerability, impacts",Vulnerabilities and Impacts
impact of climate change,"vulnerability, impacts",Vulnerabilities and Impacts
vulnerability,"vulnerability, impacts",Vulnerabilities and Impacts
Climate variability,"vulnerability, impacts",Vulnerabilities and Impacts
Health,"vulnerability, impacts",Vulnerabilities and Impacts
Human Health,"vulnerability, impacts",Vulnerabilities and Impacts
adaptive capacity,"vulnerability, impacts",Vulnerabilities and Impacts
vulnerability assessment,"vulnerability, impacts",Vulnerabilities and Impacts
disasters,"vulnerability, impacts",Vulnerabilities and Impacts
FAO,"vulnerability, impacts",Vulnerabilities and Impacts
Disaster risk reduction,"vulnerability, impacts",Vulnerabilities and Impacts
Ecosystem approach,"vulnerability, impacts",Vulnerabilities and Impacts
climate risks,"vulnerability, impacts",Vulnerabilities and Impacts
adaptation planning,"vulnerability, impacts",Vulnerabilities and Impacts
Traditional knowledge,"vulnerability, impacts",Vulnerabilities and Impacts
north pole,"vulnerability, impacts",Vulnerabilities and Impacts
impacts,"vulnerability, impacts",Vulnerabilities and Impacts
Early Warning System,"vulnerability, impacts",Vulnerabilities and Impacts
Impact assessment,"vulnerability, impacts",Vulnerabilities and Impacts
economic diversification,"vulnerability, impacts",Vulnerabilities and Impacts
Shore protection,"vulnerability, impacts",Vulnerabilities and Impacts
Biological Diversity,"vulnerability, impacts",Vulnerabilities and Impacts
food security,"vulnerability, impacts",Vulnerabilities and Impacts
River basins,"vulnerability, impacts",Vulnerabilities and Impacts
International Union for Conservation of Nature and Natural Resources,"vulnerability, impacts",Vulnerabilities and Impacts
climate impact,"vulnerability, impacts",Vulnerabilities and Impacts
risk management,"vulnerability, impacts",Vulnerabilities and Impacts
Environmental Management,"vulnerability, impacts",Vulnerabilities and Impacts
Water Management,"vulnerability, impacts",Vulnerabilities and Impacts
vulnerability to climate change,"vulnerability, impacts",Vulnerabilities and Impacts
Climate extremes,"vulnerability, impacts",Vulnerabilities and Impacts
resource management,"vulnerability, impacts",Vulnerabilities and Impacts
Sustainable Livelihood,"vulnerability, impacts",Vulnerabilities and Impacts
hazards,"vulnerability, impacts",Vulnerabilities and Impacts
Disaster Preparedness,"vulnerability, impacts",Vulnerabilities and Impacts
agricultural sector,"vulnerability, impacts",Vulnerabilities and Impacts
War,"vulnerability, impacts",Vulnerabilities and Impacts
local impacts,"vulnerability, impacts",Vulnerabilities and Impacts
Warsaw International Mechanism,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
Loss and Damage,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
L&D,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
Warsaw Mechanism,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
liable,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
liability,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
liabilities,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
compensation,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
compensations,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
Loss & Damage,"Loss and Damage, Warsaw Mechanism, L&D, Loss & Damage",Loss and Damage
